PON: 0/1/1:106 | Nama: NA | MAC: fc:8e:5b:96:ec:50 | Data: 0/1/1:106,NA,fc:8e:5b:96:ec:50,Down,NA,NA,NA,NA,NA,NA,NA,-17.77,409
PON: 0/1/1:107 | Nama: NA | MAC: d4:7e:e4:e0:41:18 | Data: 0/1/1:107,NA,d4:7e:e4:e0:41:18,Up,NA,NA,NA,NA,NA,NA,NA,-18.04,632
PON: 0/1/1:108 | Nama: NA | MAC: b0:30:55:7e:d5:e0 | Data: 0/1/1:108,NA,b0:30:55:7e:d5:e0,Up,NA,NA,NA,NA,NA,NA,NA,-21.61,614
PON: 0/1/1:109 | Nama: NA | MAC: 2c:33:41:34:65:4e | Data: 0/1/1:109,NA,2c:33:41:34:65:4e,Up,NA,NA,NA,NA,NA,NA,NA,-22.01,560
PON: 0/1/1:110 | Nama: NA | MAC: a0:9b:12:43:d1:d8 | Data: 0/1/1:110,NA,a0:9b:12:43:d1:d8,Up,NA,NA,NA,NA,NA,NA,NA,-21.02,628
PON: 0/1/1:111 | Nama: NA | MAC: 64:2c:ac:52:e4:63 | Data: 0/1/1:111,NA,64:2c:ac:52:e4:63,Up,NA,NA,NA,NA,NA,NA,NA,-19.79,537
PON: 0/1/1:112 | Nama: NA | MAC: 14:ad:ca:26:50:98 | Data: 0/1/1:112,NA,14:ad:ca:26:50:98,Up,NA,NA,NA,NA,NA,NA,NA,-21.08,565
PON: 0/1/1:113 | Nama: NA | MAC: fc:f2:9f:de:85:d8 | Data: 0/1/1:113,NA,fc:f2:9f:de:85:d8,Up,NA,NA,NA,NA,NA,NA,NA,-17.88,567
PON: 0/1/1:114 | Nama: NA | MAC: e8:81:75:94:8b:c7 | Data: 0/1/1:114,NA,e8:81:75:94:8b:c7,Up,NA,NA,NA,NA,NA,NA,NA,-19.75,589
PON: 0/1/1:115 | Nama: NA | MAC: 80:b0:7b:80:fe:c7 | Data: 0/1/1:115,NA,80:b0:7b:80:fe:c7,Up,NA,NA,NA,NA,NA,NA,NA,-21.55,696
PON: 0/1/1:116 | Nama: NA | MAC: 94:bf:80:8a:a7:18 | Data: 0/1/1:116,NA,94:bf:80:8a:a7:18,Up,NA,NA,NA,NA,NA,NA,NA,-16.33,597
PON: 0/1/1:117 | Nama: NA | MAC: 44:22:95:0f:e2:98 | Data: 0/1/1:117,NA,44:22:95:0f:e2:98,Up,NA,NA,NA,NA,NA,NA,NA,-17.77,410
PON: 0/1/1:118 | Nama: NA | MAC: 50:55:8d:2d:e1:b8 | Data: 0/1/1:118,NA,50:55:8d:2d:e1:b8,Up,NA,NA,NA,NA,NA,NA,NA,-23.67,535
PON: 0/1/2:1 | Nama: NA | MAC: c4:27:28:12:3f:74 | Data: 0/1/2:1,NA,c4:27:28:12:3f:74,Up,NA,NA,NA,NA,NA,NA,NA,-14.85,349
PON: 0/1/2:2 | Nama: NA | MAC: d0:60:8c:ae:9a:e4 | Data: 0/1/2:2,NA,d0:60:8c:ae:9a:e4,Down,NA,NA,NA,NA,NA,NA,NA,0,754
PON: 0/1/2:3 | Nama: NA | MAC: e4:47:b3:90:7c:b7 | Data: 0/1/2:3,NA,e4:47:b3:90:7c:b7,Down,NA,NA,NA,NA,NA,NA,NA,0,330
PON: 0/1/2:4 | Nama: NA | MAC: 2c:33:41:35:bc:5c | Data: 0/1/2:4,NA,2c:33:41:35:bc:5c,Down,NA,NA,NA,NA,NA,NA,NA,0,763
PON: 0/1/2:5 | Nama: NA | MAC: 6c:d2:ba:1f:0f:c8 | Data: 0/1/2:5,NA,6c:d2:ba:1f:0f:c8,Down,NA,NA,NA,NA,NA,NA,NA,0,764
PON: 0/1/2:6 | Nama: NA | MAC: 68:8a:f0:8f:7d:a7 | Data: 0/1/2:6,NA,68:8a:f0:8f:7d:a7,Down,NA,NA,NA,NA,NA,NA,NA,0,752
PON: 0/1/2:7 | Nama: NA | MAC: ec:f0:fe:2d:e2:f7 | Data: 0/1/2:7,NA,ec:f0:fe:2d:e2:f7,Down,NA,NA,NA,NA,NA,NA,NA,0,276
PON: 0/1/2:8 | Nama: NA | MAC: 50:55:8d:30:f3:98 | Data: 0/1/2:8,NA,50:55:8d:30:f3:98,Up,NA,NA,NA,NA,NA,NA,NA,-14.65,287
PON: 0/1/2:9 | Nama: NA | MAC: a4:f3:3b:83:6f:a0 | Data: 0/1/2:9,NA,a4:f3:3b:83:6f:a0,Down,NA,NA,NA,NA,NA,NA,NA,0,559
PON: 0/1/2:10 | Nama: NA | MAC: b0:30:55:72:15:50 | Data: 0/1/2:10,NA,b0:30:55:72:15:50,Down,NA,NA,NA,NA,NA,NA,NA,0,802
PON: 0/1/2:11 | Nama: NA | MAC: c4:27:28:2b:1f:c8 | Data: 0/1/2:11,NA,c4:27:28:2b:1f:c8,Down,NA,NA,NA,NA,NA,NA,NA,0,959
