PON: 1/2/3:21 | Nama: NA | MAC: fc:f2:9f:ec:10:28 | Data: 1/2/3:21,NA,fc:f2:9f:ec:10:28,Up,ZTE-F601,CIOT16EC1028,NA,NA,NA,NA,NA,-20.846,6.339
PON: 1/2/3:22 | Nama: NA | MAC: 0c:37:47:8b:50:3c | Data: 1/2/3:22,NA,0c:37:47:8b:50:3c,Up,ZTE-F601,ZTEGC84D6838,NA,NA,NA,NA,NA,-15.683,6.339
PON: 1/2/3:24 | Nama: NA | MAC: 44:22:95:9c:13:a8 | Data: 1/2/3:24,NA,44:22:95:9c:13:a8,Up,ZTE-F601,CIOT139C13A8,NA,NA,NA,NA,NA,-18.789,6.339
PON: 1/2/4:1 | Nama: NA | MAC: c0:d0:ff:d1:d3:58 | Data: 1/2/4:1,NA,c0:d0:ff:d1:d3:58,Up,ZTE-F609,CIOT07D1D358,NA,NA,NA,NA,NA,-16.161,6.527
PON: 1/2/4:2 | Nama: NA | MAC: NA | Data: 1/2/4:2,NA,NA,Down,ZTE-F609,CIOT11EE11C0,NA,NA,NA,NA,NA,0,6.527
PON: 1/2/4:5 | Nama: NA | MAC: d8:a8:c8:5c:41:1c | Data: 1/2/4:5,NA,d8:a8:c8:5c:41:1c,Up,ZTE-F601,ZICGCCF440F4,NA,NA,NA,NA,NA,-18.125,6.527
PON: 1/2/4:6 | Nama: NA | MAC: a0:9b:12:19:7d:68 | Data: 1/2/4:6,NA,a0:9b:12:19:7d:68,Up,ZTE-F601,CIOT17197D68,NA,NA,NA,NA,NA,-16.511,6.527
PON: 1/2/4:7 | Nama: NA | MAC: NA | Data: 1/2/4:7,NA,NA,Down,ZTE-F609,CIOT103F6C10,NA,NA,NA,NA,NA,0,6.527
PON: 1/2/4:8 | Nama: NA | MAC: NA | Data: 1/2/4:8,NA,NA,Down,ZTE-F601,ZICG012A5B16,NA,NA,NA,NA,NA,0,6.527
PON: 1/2/4:9 | Nama: NA | MAC: 64:58:ad:1e:fd:70 | Data: 1/2/4:9,NA,64:58:ad:1e:fd:70,Up,ZTE-F601,CIOT091EFD70,NA,NA,NA,NA,NA,-18.883,6.527
